           T(s)              1              2              3              4              5              6              7
      46200.000  0.1125417E+00  0.3753870E-01  0.1608855E+01  0.6903134E-01  0.3125234E-01  0.2794473E-01  0.4028129E-01
      46500.000  0.1120243E+00  0.3753870E-01  0.1598149E+01  0.6846822E-01  0.3125234E-01  0.2794473E-01  0.4028129E-01
      46800.000  0.1115216E+00  0.3753870E-01  0.1587766E+01  0.6792397E-01  0.3125234E-01  0.2794473E-01  0.4028129E-01
      47100.000  0.1110335E+00  0.3753870E-01  0.1577700E+01  0.6739802E-01  0.3125234E-01  0.2794473E-01  0.4028129E-01
      47400.000  0.1105599E+00  0.3753870E-01  0.1567945E+01  0.6688979E-01  0.3125234E-01  0.2794473E-01  0.4028129E-01
      47700.000  0.1101004E+00  0.3753870E-01  0.1558493E+01  0.6639869E-01  0.3125234E-01  0.2794473E-01  0.4028129E-01
      48000.000  0.1096549E+00  0.3753870E-01  0.1549337E+01  0.6592417E-01  0.3125234E-01  0.2794473E-01  0.4028129E-01
      48300.000  0.1092232E+00  0.3753870E-01  0.1540471E+01  0.6546567E-01  0.3125234E-01  0.2794473E-01  0.4028129E-01
      48600.000  0.1088049E+00  0.3753870E-01  0.1531887E+01  0.6502264E-01  0.3125234E-01  0.2794473E-01  0.4028129E-01
      48900.000  0.1083998E+00  0.3753870E-01  0.1523577E+01  0.6459456E-01  0.3125234E-01  0.2794473E-01  0.4028129E-01
      49200.000  0.1080075E+00  0.3753870E-01  0.1515534E+01  0.6418089E-01  0.3125234E-01  0.2794473E-01  0.4028129E-01
      49500.000  0.1076278E+00  0.3753870E-01  0.1507750E+01  0.6378114E-01  0.3125234E-01  0.2794473E-01  0.4028129E-01
      49800.000  0.1072603E+00  0.3753870E-01  0.1500217E+01  0.6339481E-01  0.3125234E-01  0.2794473E-01  0.4028129E-01
      50100.000  0.1069047E+00  0.3753870E-01  0.1492929E+01  0.6302142E-01  0.3125234E-01  0.2794473E-01  0.4028129E-01
      50400.000  0.1065607E+00  0.3753870E-01  0.1485876E+01  0.6266051E-01  0.3125234E-01  0.2794473E-01  0.4028129E-01
      50700.000  0.1062278E+00  0.3753870E-01  0.1479053E+01  0.6231162E-01  0.3125234E-01  0.2794473E-01  0.4028129E-01
      51000.000  0.1059059E+00  0.3753870E-01  0.1472452E+01  0.6197433E-01  0.3125234E-01  0.2794473E-01  0.4028129E-01
      51300.000  0.1055945E+00  0.3753870E-01  0.1466065E+01  0.6164821E-01  0.3125234E-01  0.2794472E-01  0.4028129E-01
      51600.000  0.1052934E+00  0.3753870E-01  0.1459886E+01  0.6133286E-01  0.3125234E-01  0.2794472E-01  0.4028129E-01
      51900.000  0.1050022E+00  0.3753870E-01  0.1453908E+01  0.6102788E-01  0.3125234E-01  0.2794472E-01  0.4028129E-01
